"125","4A","Uang Saku","Pengatur Muda Tk. I (II/b)","500000",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"126","4A","Transport","Pengatur Muda Tk. I (II/b)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"127","4A","Penginapan","Pengatur Muda Tk. I (II/b)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"128","4A","Uang Saku","Pengatur Muda (II/a)","500000",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"129","4A","Transport","Pengatur Muda (II/a)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"130","4A","Penginapan","Pengatur Muda (II/a)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"131","4A","Uang Saku","Juru Muda (I/a)","450000",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"132","4A","Transport","Juru Muda (I/a)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"133","4A","Penginapan","Juru Muda (I/a)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"134","4A","Uang Saku","Juru Muda Tk. I ( I/b )","450000",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"135","4A","Transport","Juru Muda Tk. I ( I/b )","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"136","4A","Penginapan","Juru Muda Tk. I ( I/b )","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"137","4A","Uang Saku","Juru (I/c)","450000",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"138","4A","Transport","Juru (I/c)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"139","4A","Penginapan","Juru (I/c)","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"140","4A","Uang Saku","Juru Tingkat I ( I/d )","450000",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"141","4A","Transport","Juru Tingkat I ( I/d )","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"142","4A","Penginapan","Juru Tingkat I ( I/d )","0",NULL,"0","4","3A","Luar Propinsi Jawa Timur","0"
"143","3A","Uang Saku","Pembina Tk. I (IV/c)","1970000",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"144","3A","Transport","Pembina Tk. I (IV/c)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"145","3A","Penginapan","Pembina Tk. I (IV/c)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"146","3A","Uang Saku","Pembina Tk. I (IV/b)","1720000",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"147","3A","Transport","Pembina Tk. I (IV/b)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"148","3A","Penginapan","Pembina Tk. I (IV/b)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"149","1A","Uang Saku","Pembina (IV/a)","1510000",NULL,"0","1","1A","Di Dalam Kabupaten Sidoarjo","0"
"150","3A","Transport","Pembina (IV/a)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"151","3A","Penginapan","Pembina (IV/a)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"152","3A","Uang Saku","Penata Tk. I (III/d)","1305000",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"153","3A","Transport","Penata Tk. I (III/d)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"154","3A","Penginapan","Penata Tk. I (III/d)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"155","3A","Uang Saku","Penata (III/c)","1305000",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"156","3A","Transport","Penata (III/c)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"157","3A","Penginapan","Penata (III/c)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"158","3A","Uang Saku","Penata Muda Tk. I (III/b)","1255000",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"159","3A","Transport","Penata Muda Tk. I (III/b)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"160","3A","Penginapan","Penata Muda Tk. I (III/b)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"161","3A","Uang Saku","Penata Muda (III/a)","1255000",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"162","3A","Transport","Penata Muda (III/a)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"163","3A","Penginapan","Penata Muda (III/a)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"164","3A","Uang Saku","Pengatur Muda (II/a)","1205000",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"165","3A","Transport","Pengatur Muda (II/a)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
"166","3A","Penginapan","Pengatur Muda (II/a)","0",NULL,"0","3","22A","Luar Kabupaten Sidoarjo dalam Propinsi (Zona 1)[Surabaya,Gresik,Mojokerto,Pasuruan]","0"
